locationcode,aids_prev_all1988,aids_prev_all1989,aids_prev_all1990,aids_prev_all1991,aids_prev_all1992,aids_prev_all1993,aids_prev_all1994,aids_prev_all1995,aids_prev_all1996,aids_prev_all1997,aids_prev_all1998,aids_prev_all1999,aids_prev_all2000,aids_prev_all2001,aids_prev_all2002,aids_prev_all2003,aids_prev_all2004,aids_prev_all2005,aids_prev_all2006,aids_prev_all2007,aids_prev_all2008,aids_prev_all2009,aids_prev_all2010,aids_prev_all2011,aids_prev_all2012,aids_prev_all2013,aids_prev_all2014,aids_prev_all2015,aids_prev_all2016,aids_prev_all2017,aids_prev_all2018
7560,22,27,49,53,77,80,98,103,111,124,132,145,148,157,167,182,189,197,218,240,256,269,303,315,300,281,295,306,207,305,258
7600,533,775,1021,1270,1544,1765,1858,1900,1995,2171,2333,2463,2706,2848,3012,3180,3330,3462,3612,3755,3913,4043,3505,3736,3728,3915,3994,3964,4083,4063,4096
8003,52,101,159,200,275,381,426,483,512,569,618,689,736,762,787,802,833,874,901,926,940,950,999,999,1118,1160,1187,1215,1197,1195,1189
8120,41,56,77,106,139,184,197,202,209,239,281,320,351,393,427,465,494,504,537,552,584,610,605,605,591,635,671,688,701,699,695
8160,41,63,94,118,191,254,248,264,297,336,354,386,445,466,496,521,537,561,570,576,589,599,562,607,640,648,666,687,722,710,738
8200,48,71,102,118,163,212,228,226,247,269,284,311,360,391,403,411,428,433,443,466,486,508,441,478,474,570,667,709,738,733,748
8280,435,604,836,1161,1637,1946,2057,2222,2456,2744,3035,3238,3483,3686,3890,4129,4414,4656,4846,5073,5286,5444,5578,5701,6091,6261,6540,6662,6827,6935,6954
8400,27,44,81,91,121,127,141,136,157,175,186,202,222,236,258,292,318,338,356,363,389,417,435,457,458,449,434,444,490,488,504
8520,117,157,214,262,328,372,393,382,437,481,535,568,606,640,678,734,757,794,828,851,887,938,1021,1088,1156,1172,1185,1213,1224,1265,1308
8560,68,81,99,166,242,271,257,286,320,366,398,416,448,481,496,530,586,625,655,692,704,734,789,833,839,881,901,914,951,942,949
8735,48,56,63,106,144,168,187,199,232,262,285,324,344,356,379,399,429,447,463,469,483,502,496,515,516,507,506,521,533,551,545
8840,1531,2024,2509,3307,4401,5339,6011,6366,6840,7685,8594,9251,9899,10563,11501,12340,13081,13720,14400,15029,15589,16184,14837,14626,15755,16156,15174,16658,16296,15591,15797
8960,304,438,577,798,1188,1389,1607,1798,2105,2387,2647,2936,3209,3431,3607,3800,3969,4035,4108,4196,4316,4447,4214,4248,4385,4468,4500,4564,4561,4624,4587
9040,42,49,69,104,125,159,186,191,200,212,239,263,283,285,295,316,338,351,368,381,384,399,454,463,461,445,464,444,452,474,484
9160,71,103,133,175,321,423,514,600,692,805,901,972,1045,1139,1192,1222,1260,1277,1307,1351,1383,1403,1347,1395,1395,1393,1392,1393,1380,1409,1374
9320,20,40,47,48,62,73,77,88,91,97,110,122,131,149,155,181,191,206,229,247,250,265,306,327,340,349,358,360,355,370,361
