"Notes"	"Year Diagnosed"	"Year Diagnosed Code"	"Location"	"Location Code"	Cases
	"1996"	"1996"	"Monmouth-Ocean City, NJ"	"5190"	201
	"1996"	"1996"	"Nashville, TN"	"5360"	293
	"1996"	"1996"	"Nassau-Suffolk, NY"	"5380"	482
	"1996"	"1996"	"New Haven, CT"	"5483"	608
	"1996"	"1996"	"New Orleans, LA"	"5560"	625
	"1996"	"1996"	"New York, NY"	"5600"	8852
	"1996"	"1996"	"Newark, NJ"	"5640"	1306
	"1996"	"1996"	"Norfolk, VA"	"5720"	412
	"1996"	"1996"	"Oakland, CA"	"5775"	544
	"1996"	"1996"	"Oklahoma City, OK"	"5880"	135
	"1996"	"1996"	"Omaha, NE"	"5920"	63
	"1996"	"1996"	"Orange County, CA"	"5945"	392
	"1996"	"1996"	"Orlando, FL"	"5960"	532
	"1996"	"1996"	"Philadelphia, PA"	"6160"	1569
	"1996"	"1996"	"Phoenix, AZ"	"6200"	375
	"1996"	"1996"	"Pittsburgh, PA"	"6280"	189
	"1996"	"1996"	"Portland, OR"	"6440"	302
	"1996"	"1996"	"Providence, RI"	"6483"	119
	"1996"	"1996"	"Raleigh-Durham, NC"	"6640"	171
	"1996"	"1996"	"Richmond, VA"	"6760"	235
	"1996"	"1996"	"Riverside-S Berndino, CA"	"6780"	503
	"1996"	"1996"	"Rochester, NY"	"6840"	199
	"1996"	"1996"	"Sacramento, CA"	"6920"	216
	"1996"	"1996"	"Saint Louis, MO"	"7040"	413
	"1996"	"1996"	"Salt Lake City, UT"	"7160"	141
	"1996"	"1996"	"San Antonio, TX"	"7240"	401
	"1996"	"1996"	"San Diego, CA"	"7320"	767
	"1996"	"1996"	"San Francisco, CA"	"7360"	1241
	"1996"	"1996"	"San Jose, CA"	"7400"	194
	"1996"	"1996"	"San Juan, PR"	"7440"	1273
	"1996"	"1996"	"Sarasota, FL"	"7510"	110
	"1996"	"1996"	"Scranton, PA"	"7560"	38
	"1996"	"1996"	"Seattle, WA"	"7600"	465
	"1996"	"1996"	"Springfield, MA"	"8003"	134
	"1996"	"1996"	"Stockton, CA"	"8120"	50
	"1996"	"1996"	"Syracuse, NY"	"8160"	120
	"1996"	"1996"	"Tacoma, WA"	"8200"	69
	"1996"	"1996"	"Tampa-Saint Petersburg, FL"	"8280"	686
	"1996"	"1996"	"Toledo, OH"	"8400"	52
	"1996"	"1996"	"Tucson, AZ"	"8520"	137
	"1996"	"1996"	"Tulsa, OK"	"8560"	98
	"1996"	"1996"	"Vallejo-Fairfield-Napa, CA"	"8720"	99
	"1996"	"1996"	"Ventura, CA"	"8735"	70
	"1996"	"1996"	"Washington, DC"	"8840"	1905
	"1996"	"1996"	"West Palm Beach, FL"	"8960"	731
	"1996"	"1996"	"Wichita, KS"	"9040"	60
	"1996"	"1996"	"Wilmington, DE"	"9160"	230
	"1996"	"1996"	"Youngstown, OH"	"9320"	29
"Total"	"1996"	"1996"			50349
	"1997"	"1997"	"Akron, OH"	"0080"	47
	"1997"	"1997"	"Albany-Schenectady, NY"	"0160"	109
	"1997"	"1997"	"Albuquerque, N.M."	"0200"	84
	"1997"	"1997"	"Allentown, PA"	"0240"	72
	"1997"	"1997"	"Ann Arbor, MI"	"0440"	21
	"1997"	"1997"	"Atlanta, GA"	"0520"	1062
	"1997"	"1997"	"Austin, TX"	"0640"	255
	"1997"	"1997"	"Bakersfield, CA"	"0680"	87
	"1997"	"1997"	"Baltimore, MD"	"0720"	1183
	"1997"	"1997"	"Baton Rouge, LA"	"0760"	185
	"1997"	"1997"	"Bergen-Passaic, NJ"	"0875"	323
	"1997"	"1997"	"Birmingham, AL"	"1000"	155
	"1997"	"1997"	"Boston, MA"	"1123"	785
	"1997"	"1997"	"Buffalo, NY"	"1280"	92
	"1997"	"1997"	"Charleston, SC"	"1440"	103
	"1997"	"1997"	"Charlotte, NC"	"1520"	149
	"1997"	"1997"	"Chicago, IL"	"1600"	1417
	"1997"	"1997"	"Cincinnati, OH"	"1640"	115
	"1997"	"1997"	"Cleveland, OH"	"1680"	228
	"1997"	"1997"	"Colorado Springs, CO"	"1720"	22
	"1997"	"1997"	"Columbia, SC"	"1760"	145
	"1997"	"1997"	"Columbus, OH"	"1840"	98
	"1997"	"1997"	"Dallas, TX"	"1920"	735
	"1997"	"1997"	"Dayton, OH"	"2000"	47
	"1997"	"1997"	"Daytona Beach, FL"	"2020"	93
	"1997"	"1997"	"Denver, CO"	"2080"	279
	"1997"	"1997"	"Detroit, MI"	"2160"	503
	"1997"	"1997"	"El Paso, TX"	"2320"	97
	"1997"	"1997"	"Fort Lauderdale, FL"	"2680"	922
	"1997"	"1997"	"Fort Wayne, IN"	"2760"	28
	"1997"	"1997"	"Fort Worth, TX"	"2800"	225
	"1997"	"1997"	"Fresno, CA"	"2840"	73
	"1997"	"1997"	"Gary, IN"	"2960"	54
	"1997"	"1997"	"Grand Rapids, MI"	"3000"	51
	"1997"	"1997"	"Greensboro, NC"	"3120"	95
	"1997"	"1997"	"Greenvile, SC"	"3160"	118
	"1997"	"1997"	"Harrisburg, PA"	"3240"	90
	"1997"	"1997"	"Hartford, CT"	"3283"	312
	"1997"	"1997"	"Honolulu, HI"	"3320"	83
	"1997"	"1997"	"Houston, TX"	"3360"	1351
	"1997"	"1997"	"Indianapolis, IN"	"3480"	200
	"1997"	"1997"	"Jacksonville, FL"	"3600"	316
	"1997"	"1997"	"Jersey City, NJ"	"3640"	367
	"1997"	"1997"	"Kansas City, MO"	"3760"	209
	"1997"	"1997"	"Knoxville, TN"	"3840"	59
	"1997"	"1997"	"Las Vegas, NV"	"4120"	321
	"1997"	"1997"	"Little Rock, AR"	"4400"	79
	"1997"	"1997"	"Los Angeles, CA"	"4480"	2085
	"1997"	"1997"	"Louisville, KY"	"4520"	149
	"1997"	"1997"	"McAllen-Edinburg-Mission, TX"	"4880"	30
	"1997"	"1997"	"Memphis, TN"	"4920"	262
	"1997"	"1997"	"Miami, FL"	"5000"	1547
	"1997"	"1997"	"Middlesex, NJ"	"5015"	183
	"1997"	"1997"	"Milwaukee, WI"	"5080"	119
	"1997"	"1997"	"Minneapolis-St Paul, MN"	"5120"	178
	"1997"	"1997"	"Mobile, Al"	"5160"	92
	"1997"	"1997"	"Monmouth-Ocean City, NJ"	"5190"	164
	"1997"	"1997"	"Nashville, TN"	"5360"	266
	"1997"	"1997"	"Nassau-Suffolk, NY"	"5380"	356
	"1997"	"1997"	"New Haven, CT"	"5483"	414
	"1997"	"1997"	"New Orleans, LA"	"5560"	494
	"1997"	"1997"	"New York, NY"	"5600"	7089
	"1997"	"1997"	"Newark, NJ"	"5640"	1050
	"1997"	"1997"	"Norfolk, VA"	"5720"	338
	"1997"	"1997"	"Oakland, CA"	"5775"	421
	"1997"	"1997"	"Oklahoma City, OK"	"5880"	159
	"1997"	"1997"	"Omaha, NE"	"5920"	65
	"1997"	"1997"	"Orange County, CA"	"5945"	325
	"1997"	"1997"	"Orlando, FL"	"5960"	459
	"1997"	"1997"	"Philadelphia, PA"	"6160"	1359
	"1997"	"1997"	"Phoenix, AZ"	"6200"	377
	"1997"	"1997"	"Pittsburgh, PA"	"6280"	138
	"1997"	"1997"	"Portland, OR"	"6440"	186
	"1997"	"1997"	"Providence, RI"	"6483"	131
	"1997"	"1997"	"Raleigh-Durham, NC"	"6640"	118
	"1997"	"1997"	"Richmond, VA"	"6760"	189
	"1997"	"1997"	"Riverside-S Berndino, CA"	"6780"	473
	"1997"	"1997"	"Rochester, NY"	"6840"	179
	"1997"	"1997"	"Sacramento, CA"	"6920"	189
	"1997"	"1997"	"Saint Louis, MO"	"7040"	305
	"1997"	"1997"	"Salt Lake City, UT"	"7160"	125
	"1997"	"1997"	"San Antonio, TX"	"7240"	268
	"1997"	"1997"	"San Diego, CA"	"7320"	571
	"1997"	"1997"	"San Francisco, CA"	"7360"	945
	"1997"	"1997"	"San Jose, CA"	"7400"	170
	"1997"	"1997"	"San Juan, PR"	"7440"	1053
	"1997"	"1997"	"Sarasota, FL"	"7510"	99
	"1997"	"1997"	"Scranton, PA"	"7560"	28
	"1997"	"1997"	"Seattle, WA"	"7600"	337
	"1997"	"1997"	"Springfield, MA"	"8003"	110
	"1997"	"1997"	"Stockton, CA"	"8120"	54
	"1997"	"1997"	"Syracuse, NY"	"8160"	77
	"1997"	"1997"	"Tacoma, WA"	"8200"	58
	"1997"	"1997"	"Tampa-Saint Petersburg, FL"	"8280"	590
	"1997"	"1997"	"Toledo, OH"	"8400"	33
	"1997"	"1997"	"Tucson, AZ"	"8520"	100
	"1997"	"1997"	"Tulsa, OK"	"8560"	82
	"1997"	"1997"	"Vallejo-Fairfield-Napa, CA"	"8720"	66
	"1997"	"1997"	"Ventura, CA"	"8735"	54
	"1997"	"1997"	"Washington, DC"	"8840"	1638
	"1997"	"1997"	"West Palm Beach, FL"	"8960"	594
	"1997"	"1997"	"Wichita, KS"	"9040"	44
	"1997"	"1997"	"Wilmington, DE"	"9160"	183
	"1997"	"1997"	"Youngstown, OH"	"9320"	20
"Total"	"1997"	"1997"			40632
	"1998"	"1998"	"Akron, OH"	"0080"	41
	"1998"	"1998"	"Albany-Schenectady, NY"	"0160"	85
	"1998"	"1998"	"Albuquerque, N.M."	"0200"	49
	"1998"	"1998"	"Allentown, PA"	"0240"	53
	"1998"	"1998"	"Ann Arbor, MI"	"0440"	20
	"1998"	"1998"	"Atlanta, GA"	"0520"	1013
	"1998"	"1998"	"Austin, TX"	"0640"	186
	"1998"	"1998"	"Bakersfield, CA"	"0680"	78
	"1998"	"1998"	"Baltimore, MD"	"0720"	1091
	"1998"	"1998"	"Baton Rouge, LA"	"0760"	174
	"1998"	"1998"	"Bergen-Passaic, NJ"	"0875"	213
	"1998"	"1998"	"Birmingham, AL"	"1000"	139
	"1998"	"1998"	"Boston, MA"	"1123"	821
	"1998"	"1998"	"Buffalo, NY"	"1280"	95
	"1998"	"1998"	"Charleston, SC"	"1440"	108
	"1998"	"1998"	"Charlotte, NC"	"1520"	180
	"1998"	"1998"	"Chicago, IL"	"1600"	1106
	"1998"	"1998"	"Cincinnati, OH"	"1640"	76
	"1998"	"1998"	"Cleveland, OH"	"1680"	191
	"1998"	"1998"	"Colorado Springs, CO"	"1720"	26
	"1998"	"1998"	"Columbia, SC"	"1760"	222
	"1998"	"1998"	"Columbus, OH"	"1840"	91
	"1998"	"1998"	"Dallas, TX"	"1920"	638
	"1998"	"1998"	"Dayton, OH"	"2000"	55
	"1998"	"1998"	"Daytona Beach, FL"	"2020"	66
	"1998"	"1998"	"Denver, CO"	"2080"	245
	"1998"	"1998"	"Detroit, MI"	"2160"	467
	"1998"	"1998"	"El Paso, TX"	"2320"	95
	"1998"	"1998"	"Fort Lauderdale, FL"	"2680"	860
	"1998"	"1998"	"Fort Wayne, IN"	"2760"	23
	"1998"	"1998"	"Fort Worth, TX"	"2800"	142
	"1998"	"1998"	"Fresno, CA"	"2840"	76
	"1998"	"1998"	"Gary, IN"	"2960"	42
	"1998"	"1998"	"Grand Rapids, MI"	"3000"	28
	"1998"	"1998"	"Greensboro, NC"	"3120"	125
	"1998"	"1998"	"Greenvile, SC"	"3160"	112
	"1998"	"1998"	"Harrisburg, PA"	"3240"	103
	"1998"	"1998"	"Hartford, CT"	"3283"	223
	"1998"	"1998"	"Honolulu, HI"	"3320"	93
	"1998"	"1998"	"Houston, TX"	"3360"	885
	"1998"	"1998"	"Indianapolis, IN"	"3480"	164
	"1998"	"1998"	"Jacksonville, FL"	"3600"	248
	"1998"	"1998"	"Jersey City, NJ"	"3640"	235
	"1998"	"1998"	"Kansas City, MO"	"3760"	186
	"1998"	"1998"	"Knoxville, TN"	"3840"	59
	"1998"	"1998"	"Las Vegas, NV"	"4120"	237
	"1998"	"1998"	"Little Rock, AR"	"4400"	56
	"1998"	"1998"	"Los Angeles, CA"	"4480"	1835
	"1998"	"1998"	"Louisville, KY"	"4520"	124
	"1998"	"1998"	"McAllen-Edinburg-Mission, TX"	"4880"	39
	"1998"	"1998"	"Memphis, TN"	"4920"	363
	"1998"	"1998"	"Miami, FL"	"5000"	1508
	"1998"	"1998"	"Middlesex, NJ"	"5015"	123
	"1998"	"1998"	"Milwaukee, WI"	"5080"	100
	"1998"	"1998"	"Minneapolis-St Paul, MN"	"5120"	188
	"1998"	"1998"	"Mobile, Al"	"5160"	101
	"1998"	"1998"	"Monmouth-Ocean City, NJ"	"5190"	114
	"1998"	"1998"	"Nashville, TN"	"5360"	218
	"1998"	"1998"	"Nassau-Suffolk, NY"	"5380"	286
	"1998"	"1998"	"New Haven, CT"	"5483"	316
	"1998"	"1998"	"New Orleans, LA"	"5560"	426
	"1998"	"1998"	"New York, NY"	"5600"	5509
	"1998"	"1998"	"Newark, NJ"	"5640"	763
	"1998"	"1998"	"Norfolk, VA"	"5720"	293
	"1998"	"1998"	"Oakland, CA"	"5775"	332
	"1998"	"1998"	"Oklahoma City, OK"	"5880"	92
	"1998"	"1998"	"Omaha, NE"	"5920"	38
	"1998"	"1998"	"Orange County, CA"	"5945"	269
	"1998"	"1998"	"Orlando, FL"	"5960"	441
	"1998"	"1998"	"Philadelphia, PA"	"6160"	1202
	"1998"	"1998"	"Phoenix, AZ"	"6200"	362
	"1998"	"1998"	"Pittsburgh, PA"	"6280"	115
	"1998"	"1998"	"Portland, OR"	"6440"	161
	"1998"	"1998"	"Providence, RI"	"6483"	114
	"1998"	"1998"	"Raleigh-Durham, NC"	"6640"	116
	"1998"	"1998"	"Richmond, VA"	"6760"	191
	"1998"	"1998"	"Riverside-S Berndino, CA"	"6780"	366
	"1998"	"1998"	"Rochester, NY"	"6840"	113
	"1998"	"1998"	"Sacramento, CA"	"6920"	149
	"1998"	"1998"	"Saint Louis, MO"	"7040"	210
	"1998"	"1998"	"Salt Lake City, UT"	"7160"	126
	"1998"	"1998"	"San Antonio, TX"	"7240"	211
	"1998"	"1998"	"San Diego, CA"	"7320"	500
	"1998"	"1998"	"San Francisco, CA"	"7360"	762
	"1998"	"1998"	"San Jose, CA"	"7400"	139
	"1998"	"1998"	"San Juan, PR"	"7440"	888
	"1998"	"1998"	"Sarasota, FL"	"7510"	99
	"1998"	"1998"	"Scranton, PA"	"7560"	21
	"1998"	"1998"	"Seattle, WA"	"7600"	284
	"1998"	"1998"	"Springfield, MA"	"8003"	108
	"1998"	"1998"	"Stockton, CA"	"8120"	56
	"1998"	"1998"	"Syracuse, NY"	"8160"	56
	"1998"	"1998"	"Tacoma, WA"	"8200"	46
	"1998"	"1998"	"Tampa-Saint Petersburg, FL"	"8280"	574
	"1998"	"1998"	"Toledo, OH"	"8400"	27
	"1998"	"1998"	"Tucson, AZ"	"8520"	100
	"1998"	"1998"	"Tulsa, OK"	"8560"	70
	"1998"	"1998"	"Vallejo-Fairfield-Napa, CA"	"8720"	71
	"1998"	"1998"	"Ventura, CA"	"8735"	38
	"1998"	"1998"	"Washington, DC"	"8840"	1604
	"1998"	"1998"	"West Palm Beach, FL"	"8960"	483
	"1998"	"1998"	"Wichita, KS"	"9040"	41
	"1998"	"1998"	"Wilmington, DE"	"9160"	147
	"1998"	"1998"	"Youngstown, OH"	"9320"	31
"Total"	"1998"	"1998"			34580
	"1999"	"1999"	"Akron, OH"	"0080"	40
	"1999"	"1999"	"Albany-Schenectady, NY"	"0160"	88
	"1999"	"1999"	"Albuquerque, N.M."	"0200"	47
	"1999"	"1999"	"Allentown, PA"	"0240"	70
	"1999"	"1999"	"Ann Arbor, MI"	"0440"	23
	"1999"	"1999"	"Atlanta, GA"	"0520"	855
	"1999"	"1999"	"Austin, TX"	"0640"	214
	"1999"	"1999"	"Bakersfield, CA"	"0680"	76
	"1999"	"1999"	"Baltimore, MD"	"0720"	1041
	"1999"	"1999"	"Baton Rouge, LA"	"0760"	187
	"1999"	"1999"	"Bergen-Passaic, NJ"	"0875"	219
	"1999"	"1999"	"Birmingham, AL"	"1000"	118
	"1999"	"1999"	"Boston, MA"	"1123"	751
	"1999"	"1999"	"Buffalo, NY"	"1280"	106
	"1999"	"1999"	"Charleston, SC"	"1440"	105
	"1999"	"1999"	"Charlotte, NC"	"1520"	137
	"1999"	"1999"	"Chicago, IL"	"1600"	1138
	"1999"	"1999"	"Cincinnati, OH"	"1640"	85
	"1999"	"1999"	"Cleveland, OH"	"1680"	170
	"1999"	"1999"	"Colorado Springs, CO"	"1720"	24
	"1999"	"1999"	"Columbia, SC"	"1760"	168
	"1999"	"1999"	"Columbus, OH"	"1840"	99
	"1999"	"1999"	"Dallas, TX"	"1920"	601
	"1999"	"1999"	"Dayton, OH"	"2000"	51
	"1999"	"1999"	"Daytona Beach, FL"	"2020"	75
	"1999"	"1999"	"Denver, CO"	"2080"	234
	"1999"	"1999"	"Detroit, MI"	"2160"	399
	"1999"	"1999"	"El Paso, TX"	"2320"	86
	"1999"	"1999"	"Fort Lauderdale, FL"	"2680"	789
	"1999"	"1999"	"Fort Wayne, IN"	"2760"	17
	"1999"	"1999"	"Fort Worth, TX"	"2800"	154
	"1999"	"1999"	"Fresno, CA"	"2840"	75
	"1999"	"1999"	"Gary, IN"	"2960"	50
	"1999"	"1999"	"Grand Rapids, MI"	"3000"	35
	"1999"	"1999"	"Greensboro, NC"	"3120"	110
	"1999"	"1999"	"Greenvile, SC"	"3160"	120
	"1999"	"1999"	"Harrisburg, PA"	"3240"	87
	"1999"	"1999"	"Hartford, CT"	"3283"	175
	"1999"	"1999"	"Honolulu, HI"	"3320"	74
	"1999"	"1999"	"Houston, TX"	"3360"	779
	"1999"	"1999"	"Indianapolis, IN"	"3480"	172
	"1999"	"1999"	"Jacksonville, FL"	"3600"	305
	"1999"	"1999"	"Jersey City, NJ"	"3640"	223
	"1999"	"1999"	"Kansas City, MO"	"3760"	176
	"1999"	"1999"	"Knoxville, TN"	"3840"	50
	"1999"	"1999"	"Las Vegas, NV"	"4120"	227
	"1999"	"1999"	"Little Rock, AR"	"4400"	58
	"1999"	"1999"	"Los Angeles, CA"	"4480"	1653
	"1999"	"1999"	"Louisville, KY"	"4520"	126
	"1999"	"1999"	"McAllen-Edinburg-Mission, TX"	"4880"	29
	"1999"	"1999"	"Memphis, TN"	"4920"	298
	"1999"	"1999"	"Miami, FL"	"5000"	1234
	"1999"	"1999"	"Middlesex, NJ"	"5015"	110
	"1999"	"1999"	"Milwaukee, WI"	"5080"	91
	"1999"	"1999"	"Minneapolis-St Paul, MN"	"5120"	150
	"1999"	"1999"	"Mobile, Al"	"5160"	74
	"1999"	"1999"	"Monmouth-Ocean City, NJ"	"5190"	110
	"1999"	"1999"	"Nashville, TN"	"5360"	195
	"1999"	"1999"	"Nassau-Suffolk, NY"	"5380"	285
	"1999"	"1999"	"New Haven, CT"	"5483"	310
	"1999"	"1999"	"New Orleans, LA"	"5560"	376
	"1999"	"1999"	"New York, NY"	"5600"	5097
	"1999"	"1999"	"Newark, NJ"	"5640"	777
	"1999"	"1999"	"Norfolk, VA"	"5720"	280
	"1999"	"1999"	"Oakland, CA"	"5775"	334
	"1999"	"1999"	"Oklahoma City, OK"	"5880"	81
	"1999"	"1999"	"Omaha, NE"	"5920"	44
	"1999"	"1999"	"Orange County, CA"	"5945"	254
	"1999"	"1999"	"Orlando, FL"	"5960"	421
	"1999"	"1999"	"Philadelphia, PA"	"6160"	1519
	"1999"	"1999"	"Phoenix, AZ"	"6200"	291
	"1999"	"1999"	"Pittsburgh, PA"	"6280"	91
	"1999"	"1999"	"Portland, OR"	"6440"	181
	"1999"	"1999"	"Providence, RI"	"6483"	87
	"1999"	"1999"	"Raleigh-Durham, NC"	"6640"	129
	"1999"	"1999"	"Richmond, VA"	"6760"	150
	"1999"	"1999"	"Riverside-S Berndino, CA"	"6780"	332
	"1999"	"1999"	"Rochester, NY"	"6840"	105
	"1999"	"1999"	"Sacramento, CA"	"6920"	144
	"1999"	"1999"	"Saint Louis, MO"	"7040"	236
	"1999"	"1999"	"Salt Lake City, UT"	"7160"	115
	"1999"	"1999"	"San Antonio, TX"	"7240"	210
	"1999"	"1999"	"San Diego, CA"	"7320"	438
	"1999"	"1999"	"San Francisco, CA"	"7360"	694
	"1999"	"1999"	"San Jose, CA"	"7400"	139
	"1999"	"1999"	"San Juan, PR"	"7440"	752
	"1999"	"1999"	"Sarasota, FL"	"7510"	87
	"1999"	"1999"	"Scranton, PA"	"7560"	15
	"1999"	"1999"	"Seattle, WA"	"7600"	222
	"1999"	"1999"	"Springfield, MA"	"8003"	126
	"1999"	"1999"	"Stockton, CA"	"8120"	54
	"1999"	"1999"	"Syracuse, NY"	"8160"	59
	"1999"	"1999"	"Tacoma, WA"	"8200"	43
	"1999"	"1999"	"Tampa-Saint Petersburg, FL"	"8280"	482
	"1999"	"1999"	"Toledo, OH"	"8400"	27
	"1999"	"1999"	"Tucson, AZ"	"8520"	83
	"1999"	"1999"	"Tulsa, OK"	"8560"	51
	"1999"	"1999"	"Vallejo-Fairfield-Napa, CA"	"8720"	94
	"1999"	"1999"	"Ventura, CA"	"8735"	48
	"1999"	"1999"	"Washington, DC"	"8840"	1394
	"1999"	"1999"	"West Palm Beach, FL"	"8960"	498
	"1999"	"1999"	"Wichita, KS"	"9040"	51
	"1999"	"1999"	"Wilmington, DE"	"9160"	133
	"1999"	"1999"	"Youngstown, OH"	"9320"	24
"Total"	"1999"	"1999"			32316
	"2000"	"2000"	"Akron, OH"	"0080"	22
	"2000"	"2000"	"Albany-Schenectady, NY"	"0160"	92
	"2000"	"2000"	"Albuquerque, N.M."	"0200"	45
	"2000"	"2000"	"Allentown, PA"	"0240"	46
	"2000"	"2000"	"Ann Arbor, MI"	"0440"	15
	"2000"	"2000"	"Atlanta, GA"	"0520"	842
	"2000"	"2000"	"Austin, TX"	"0640"	148
	"2000"	"2000"	"Bakersfield, CA"	"0680"	76
	"2000"	"2000"	"Baltimore, MD"	"0720"	931
	"2000"	"2000"	"Baton Rouge, LA"	"0760"	197
	"2000"	"2000"	"Bergen-Passaic, NJ"	"0875"	200
	"2000"	"2000"	"Birmingham, AL"	"1000"	111
	"2000"	"2000"	"Boston, MA"	"1123"	609
	"2000"	"2000"	"Buffalo, NY"	"1280"	132
	"2000"	"2000"	"Charleston, SC"	"1440"	113
	"2000"	"2000"	"Charlotte, NC"	"1520"	124
	"2000"	"2000"	"Chicago, IL"	"1600"	1114
	"2000"	"2000"	"Cincinnati, OH"	"1640"	78
	"2000"	"2000"	"Cleveland, OH"	"1680"	177
	"2000"	"2000"	"Colorado Springs, CO"	"1720"	21
	"2000"	"2000"	"Columbia, SC"	"1760"	175
	"2000"	"2000"	"Columbus, OH"	"1840"	103
	"2000"	"2000"	"Dallas, TX"	"1920"	557
	"2000"	"2000"	"Dayton, OH"	"2000"	59
	"2000"	"2000"	"Daytona Beach, FL"	"2020"	82
	"2000"	"2000"	"Denver, CO"	"2080"	246
	"2000"	"2000"	"Detroit, MI"	"2160"	444
	"2000"	"2000"	"El Paso, TX"	"2320"	85
	"2000"	"2000"	"Fort Lauderdale, FL"	"2680"	704
	"2000"	"2000"	"Fort Wayne, IN"	"2760"	23
	"2000"	"2000"	"Fort Worth, TX"	"2800"	141
	"2000"	"2000"	"Fresno, CA"	"2840"	58
	"2000"	"2000"	"Gary, IN"	"2960"	48
	"2000"	"2000"	"Grand Rapids, MI"	"3000"	43
	"2000"	"2000"	"Greensboro, NC"	"3120"	121
	"2000"	"2000"	"Greenvile, SC"	"3160"	122
	"2000"	"2000"	"Harrisburg, PA"	"3240"	68
	"2000"	"2000"	"Hartford, CT"	"3283"	174
	"2000"	"2000"	"Honolulu, HI"	"3320"	73
	"2000"	"2000"	"Houston, TX"	"3360"	772
	"2000"	"2000"	"Indianapolis, IN"	"3480"	151
	"2000"	"2000"	"Jacksonville, FL"	"3600"	270
	"2000"	"2000"	"Jersey City, NJ"	"3640"	233
	"2000"	"2000"	"Kansas City, MO"	"3760"	135
	"2000"	"2000"	"Knoxville, TN"	"3840"	36
	"2000"	"2000"	"Las Vegas, NV"	"4120"	243
	"2000"	"2000"	"Little Rock, AR"	"4400"	54
	"2000"	"2000"	"Los Angeles, CA"	"4480"	1471
	"2000"	"2000"	"Louisville, KY"	"4520"	98
	"2000"	"2000"	"McAllen-Edinburg-Mission, TX"	"4880"	40
	"2000"	"2000"	"Memphis, TN"	"4920"	292
	"2000"	"2000"	"Miami, FL"	"5000"	1258
	"2000"	"2000"	"Middlesex, NJ"	"5015"	135
	"2000"	"2000"	"Milwaukee, WI"	"5080"	111
	"2000"	"2000"	"Minneapolis-St Paul, MN"	"5120"	150
	"2000"	"2000"	"Mobile, Al"	"5160"	93
	"2000"	"2000"	"Monmouth-Ocean City, NJ"	"5190"	136
	"2000"	"2000"	"Nashville, TN"	"5360"	197
	"2000"	"2000"	"Nassau-Suffolk, NY"	"5380"	294
	"2000"	"2000"	"New Haven, CT"	"5483"	281
	"2000"	"2000"	"New Orleans, LA"	"5560"	356
	"2000"	"2000"	"New York, NY"	"5600"	5697
	"2000"	"2000"	"Newark, NJ"	"5640"	685
	"2000"	"2000"	"Norfolk, VA"	"5720"	244
	"2000"	"2000"	"Oakland, CA"	"5775"	287
	"2000"	"2000"	"Oklahoma City, OK"	"5880"	95
	"2000"	"2000"	"Omaha, NE"	"5920"	50
	"2000"	"2000"	"Orange County, CA"	"5945"	224
	"2000"	"2000"	"Orlando, FL"	"5960"	428
	"2000"	"2000"	"Philadelphia, PA"	"6160"	1213
	"2000"	"2000"	"Phoenix, AZ"	"6200"	291
	"2000"	"2000"	"Pittsburgh, PA"	"6280"	95
	"2000"	"2000"	"Portland, OR"	"6440"	163
	"2000"	"2000"	"Providence, RI"	"6483"	83
	"2000"	"2000"	"Raleigh-Durham, NC"	"6640"	139
	"2000"	"2000"	"Richmond, VA"	"6760"	150
	"2000"	"2000"	"Riverside-S Berndino, CA"	"6780"	300
	"2000"	"2000"	"Rochester, NY"	"6840"	96
	"2000"	"2000"	"Sacramento, CA"	"6920"	118
	"2000"	"2000"	"Saint Louis, MO"	"7040"	226
	"2000"	"2000"	"Salt Lake City, UT"	"7160"	121
	"2000"	"2000"	"San Antonio, TX"	"7240"	162
	"2000"	"2000"	"San Diego, CA"	"7320"	437
	"2000"	"2000"	"San Francisco, CA"	"7360"	604
	"2000"	"2000"	"San Jose, CA"	"7400"	116
	"2000"	"2000"	"San Juan, PR"	"7440"	672
	"2000"	"2000"	"Sarasota, FL"	"7510"	107
	"2000"	"2000"	"Scranton, PA"	"7560"	14
	"2000"	"2000"	"Seattle, WA"	"7600"	288
	"2000"	"2000"	"Springfield, MA"	"8003"	109
	"2000"	"2000"	"Stockton, CA"	"8120"	35
	"2000"	"2000"	"Syracuse, NY"	"8160"	101
	"2000"	"2000"	"Tacoma, WA"	"8200"	61
	"2000"	"2000"	"Tampa-Saint Petersburg, FL"	"8280"	495
	"2000"	"2000"	"Toledo, OH"	"8400"	38
	"2000"	"2000"	"Tucson, AZ"	"8520"	69
	"2000"	"2000"	"Tulsa, OK"	"8560"	64
	"2000"	"2000"	"Vallejo-Fairfield-Napa, CA"	"8720"	56
	"2000"	"2000"	"Ventura, CA"	"8735"	34
	"2000"	"2000"	"Washington, DC"	"8840"	1270
	"2000"	"2000"	"West Palm Beach, FL"	"8960"	513
	"2000"	"2000"	"Wichita, KS"	"9040"	30
	"2000"	"2000"	"Wilmington, DE"	"9160"	163
	"2000"	"2000"	"Youngstown, OH"	"9320"	18
"Total"	"2000"	"2000"			31386
	"2001"	"2001"	"Akron, OH"	"0080"	26
	"2001"	"2001"	"Albany-Schenectady, NY"	"0160"	55
	"2001"	"2001"	"Albuquerque, N.M."	"0200"	52
	"2001"	"2001"	"Allentown, PA"	"0240"	40
	"2001"	"2001"	"Ann Arbor, MI"	"0440"	11
